restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude,url,image_url
Helena's Cafe,"Asian,Nonya/Malaysian,Malaysian","43B Jalan Batu Ferringhi opp Yahong Gallery, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,793,5.4686929,100.2429518,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1948587-Reviews-Helena_s_Cafe-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0d/a6/12/28/img-20161114-125103-largejpg.jpg
Heritage Artisans,"Chinese,Asian,Contemporary","53 Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",3,5,151,5.4217305,100.3211342,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d14262927-Reviews-Heritage_Artisans-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/26/56/7a/47/advance-booking-is-required.jpg
20 Chulia Lane Cafe,"Fusion,Healthy,Nonya/Malaysian","20 Lorong Chulia, George Town, Penang Island 10200 Malaysia",2,5,124,5.4188721,100.3376525,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8757697-Reviews-20_Chulia_Lane_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/21/99/13/79/homemade-haus-burger.jpg
Pinxin Vegan Cuisine,"Cafe,Asian,Fusion","38, Lebuh Tye Sin, George Town, Penang Island 10300 Malaysia",2,4.5,153,5.4103597,100.3308118,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d12063649-Reviews-Pinxin_Vegan_Cuisine-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/15/b6/7c/47/the-environment.jpg
What the Duck Restaurant Penang,Asian,"40 Jalan Nagore, George Town, Penang Island 10050 Malaysia",2,4.5,234,5.421059,100.325838,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7341028-Reviews-What_the_Duck_Restaurant_Penang-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/15/66/c5/61/photo0jpg.jpg
Puree Juice,"Cafe,International,Asian","6, Lebuh Ah Quee, Penang Island 10300 Malaysia",1,5,60,5.4156488,100.3386611,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d19772506-Reviews-Puree_Juice-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1a/6d/05/6a/puree-juice-penang-interior.jpg
Bite N Eat Dindigul Biriyani,"Indian,Asian,Vegetarian Friendly","43 Penang Street, George Town, Penang Island 10200 Malaysia",2,4.5,388,5.4176511,100.3406564,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d6438457-Reviews-Bite_N_Eat_Dindigul_Biriyani-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/16/6a/27/a3/photo0jpg.jpg
WHEELER'S,"Cafe,Fusion,Healthy","67 Jalan Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,582,5.4187871,100.3365876,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7219200-Reviews-WHEELER_S-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/19/7e/6a/c7/food-feast.jpg
Rubin Mardini Cafe Restaurant,"Lebanese,Mediterranean,Turkish","Jalan Batu Ferringhi No 591, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,99,5.4796341,100.2612737,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3431277-Reviews-Rubin_Mardini_Cafe_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1a/72/7c/7a/photo1jpg.jpg
The Book Sandwich Cafe,"International,Vegetarian Friendly","217 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,4.5,300,5.4137911,100.3377644,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d7675426-Reviews-The_Book_Sandwich_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0d/63/80/a5/roast-pork-and-bbq-king.jpg
Ivy's Nyonya Cuisine,"Asian,Nonya/Malaysian,Malaysian","58 Jln Chow Thye, George Town, Penang Island 10250 Malaysia",2,4.5,495,5.4247911,100.3205736,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2547972-Reviews-Ivy_s_Nyonya_Cuisine-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/03/07/e7/12/ivy-s-nyonya-cuisine.jpg
Yeap Noodles,"Chinese,Asian,Malaysian","No. 227 Chulia Street 10200 Georgetown, Penang Island Malaysia",1,4.5,325,5.417653,100.3370166,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d4561614-Reviews-Yeap_Noodles-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/15/94/23/33/inside-yeap-noodles.jpg
Il Bacaro,"Italian,Pizza,Grill","Campbell House,106 Campbell Street Georgetown, Penang Island 10100 Malaysia",2,4.5,508,5.4181722,100.33365,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d2257632-Reviews-Il_Bacaro-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1d/52/37/ce/il-bacaro-antipasti-for.jpg
Long Beach,"Chinese,Indian,Asian","Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,2864,5.4750496,100.276679,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d1772228-Reviews-Long_Beach-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/06/8e/5a/18/long-beach.jpg
The Spice Market Cafe,"International,Asian,Malaysian","Jalan Batu Ferringhi Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,515,5.4750496,100.276679,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3202926-Reviews-The_Spice_Market_Cafe-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/13/c4/a1/6e/spice-market-cafe.jpg
Auntie Gaik Lean's,"Asian,Nonya/Malaysian,Malaysian","No.1, Bishop Street, Penang Island 10200 Malaysia",2,4.5,241,5.4179546,100.3423558,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d4992326-Reviews-Auntie_Gaik_Lean_s-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0e/fd/65/c4/photo5jpg.jpg
Via Pre Italian Restaurants,"Italian,Mediterranean,Tuscan","20e, Lebuh Penang, George Town, Penang Island 10200 Malaysia",2,4.5,385,5.419317,100.341356,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d2541938-Reviews-Via_Pre_Italian_Restaurants-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/10/38/b0/7b/via-pre.jpg
DEEN MAJU,"Indian,Asian,Malaysian","170 Jalan Gurdwara, George Town, Penang Island 10300 Malaysia",1,4.5,215,5.4097434,100.3281237,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5873013-Reviews-DEEN_MAJU-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/19/c0/d8/f4/img-20191020-wa0057-largejpg.jpg
Malaya,"Indian,Asian,Malaysian","153F, Jalan Hutton, George Town, Penang Island 10050 Malaysia",2,5,66,5.420959,100.3288386,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d15613152-Reviews-Malaya-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/18/05/a0/a1/homemade-smoked-red-snapper.jpg
Ferringhi Garden Restaurant,"Chinese,Asian,Central European","34 A, B & C, Jalan Batu, Penang Island 11100 Malaysia",2,4.5,2063,5.3673161,100.2486493,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d2212429-Reviews-Ferringhi_Garden_Restaurant-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/16/f4/1d/33/chocolate-brownie-with.jpg
The Leaf Healthy Recipes,"Asian,Diner,Healthy","No. 5 Lebuh Penang 10200, George Town, Penang Island 10200 Malaysia",2,,0,5.4185958,100.3411422,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d3773987-Reviews-The_Leaf_Healthy_Recipes-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/13/e2/a8/a5/photo1jpg.jpg
HYGGE Dining & Bar,"European,Asian,Vegetarian Friendly","58, Jalan Kuala Kangsar Near the penang art, George Town, Penang Island 10450 Malaysia",1,5,70,5.4165994,100.3314723,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17476502-Reviews-HYGGE_Dining_Bar-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/19/62/a1/3d/hygge-dining-and-bar.jpg
