restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Bocadillos Restaurant & Bar,"Indian,Asian,Malaysian","98 Lebuh Armenian, George Town, Penang Island 10200 Malaysia",2,5,13,5.4157873,100.3366387
Red Chopsticks,"Chinese,Asian,Thai","Jalan Tun Dr Awang 1-1-5, Ideal Avenue, Penang Island 11900 Malaysia",1,5,15,5.3315901,100.2849354
nada lama,"American,Seafood,International","1 Jalan Bukit Jambul Hotel Equatorial Penang, Bayan Lepas, Penang Island 11900 Malaysia",2,5,16,5.337476,100.2845764
Kedai Makanan Lidiana,"Asian,Malaysian,Vegetarian Friendly","Tanjung Bungah, Penang Island 11200 Malaysia",1,4.5,28,5.467688,100.2880581
No Eyed Deer,"International,Asian,Malaysian","98-1-26 Prima Tanjung, Jalan Fettes, Tanjung Tokong,, George Town, Penang Island 11200 Malaysia",2,4,68,5.4520822,100.3042432
Barry's Cafe,"Italian,Cafe,Asian","27 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",2,4.5,23,5.4183132,100.3419632
Shanur Restaurant,"Indian,Seafood,Middle Eastern","58-B Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,18,5.4706347,100.2455377
Mizi Bistro,"European,Asian,Malaysian","102-D-6, New World Swatow Lane, George Town, Penang Island 10050 Malaysia",2,4,66,5.4209997,100.3266585
Merlin Hotel Nasi Kandar,"Asian,Malaysian","1A, Lebuh Union Downstairs of Merlin Hotel, Penang Island 10200 Malaysia",1,4.5,35,5.4195227,100.3417162
Kafe Ping Hooi,"Chinese,Asian,Malaysian","Kafe Ping Hooi 179 Carnavon Street, Penang Island 10300 Malaysia",1,4,62,5.4146225,100.334145
Ah Chui Seafood,"Chinese,Seafood,Asian","Ah Chui Seafood Ah Chui Seafood Ah Chui Seafood 1238-T Jalan Paya Terubong, Penang Island 11060 Malaysia",2,4,41,5.387177,100.2748337
TOKMA Malay Kitchen,"Asian,Fusion,Malaysian","249 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,5,13,5.4173473,100.3311575
Roti Bakar Hutton Lane,"Malaysian,Vegetarian Friendly,Vegan Options","300 Jalan Phee Choon, George Town, Penang Island 10050 Malaysia",1,4,40,5.4176913,100.3306234
Bella Italia,"Italian,Pizza,European","Lorong Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,4,90,5.4317313,100.3099536
Leong Kee Tim Sum Restaurant,"Chinese,Asian,Cantonese","61 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,4,38,5.4159043,100.3331415
Minah Restaurant,"Asian,Malaysian,Vegetarian Friendly","Jalan Sultan Azlan Shah Sungai Gelugor, George Town, Penang Island 11700 Malaysia",2,4.5,33,5.3636576,100.3118045
Flip Burger Queensbay Mall,"Quick Bites,American,Fast food","100 Persiaran Bayan Indah 3F-07, 3rd Floor, North Zone, Queensbay Mall, Bayan Lepas, Penang Island 11900 Malaysia",2,5,16,5.3324722,100.3073227
"Kannichikan Yakiniku Restaurant - Tanjung Tokong, Penang","Japanese,Barbecue,Asian","Jalan Tanjung Tokong 1st Floor, Blok 125, George Town, Penang Island 11200 Malaysia",2,4.5,23,5.4561444,100.3079791
B@92 Eat &Drink,"Bar,Asian,Pub","92 Church Street, George Town, Penang Island Malaysia",2,4.5,50,5.4191487,100.3397465
Brussels Beer Cafe,"Belgian,Bar,European","Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,4,85,5.4344703,100.3148649
Living Room - Macalister Mansion,"Cafe,Deli","228 Macalister Road, George Town, Penang Island 10400 Malaysia",2,4,71,5.4191952,100.3187979
BBQ Nights,"Barbecue,Asian,Middle Eastern","72 D Batu Ferringhi Beach, Penang Island Malaysia",2,4,91,5.4734004,100.2460575
Blue Reef Fish & Chips Straits Quay,"Seafood,Gluten Free Options","Straits Quay, 3A-G-20 Ground Floor, Blue Reef Fish & Chips Straits Quay Jalan Seri Tanjung Pinang 10470 Tanjung Tokong,Penang, Penang Island 10470 Malaysia",2,3.5,151,5.457477,100.313538
Fishing Village Seafood,"Seafood,Asian,Malaysian","756, Mk-2 Telok Bahang, Penang Island 11050 Malaysia",2,4,73,5.4558207,100.2147705
Hai Wei Seafood Restaurant,"Chinese,Seafood,Asian",Penang Island 11300 Malaysia,2,4,26,5.3673161,100.2486493
"Yi Bin, 'The Mansion of Tea Art'","Chinese,Asian,Malaysian","106-C Jalan Hutton, George Town, Penang Island Malaysia",2,5,19,5.4208506,100.3292974
Easy Brew,"Cafe,Vegan Options","145 -147 Beach Street, George Town, Penang Island 10300 Malaysia",2,4,40,5.4147992,100.3389358
Chilli Mee at Prestige,"Chinese,Asian,Malaysian","unit 1, Prestige Hotel Arcade, George Town, Penang Island 10300 Malaysia",2,5,13,5.4165076,100.3427629
Zhu Yuan Vegetarian Restaurant,"Chinese,Asian,Malaysian","90 Jalan Dr Lim Chwee Leong, George Town, Penang Island 10100 Malaysia",2,4.5,57,5.4135945,100.3332345
Fa-laugh-Ely,"Fast food,Middle Eastern","361, Chulia Street Located at The Original Reggae Club, George Town, Penang Island 10200 Malaysia",1,5,16,5.4183867,100.3360174
Gen,"Asian,Contemporary,Diner","Unit 6, 8 Gat Lebuh Gereja, George Town, Penang Island 10300 Malaysia",3,4.5,17,5.4160091,100.3432794
hameediya nasi kandar,"Indian,Asian,Malaysian","Campbell Street, Penang Island Malaysia",1,4,43,5.4174938,100.3347739
Paul Loiis,"Italian,Cafe,Asian","18 Lebuh King, George Town, Penang Island 10200 Malaysia",2,4,32,5.4191367,100.3404481
Kuih Culture,"Chinese,Cafe,Seafood","59A, Lebuh Kimberley, Penang Island 11100 Malaysia",2,4,38,5.4159547,100.3331858
Nyonya Breeze Desire,"Asian,Malaysian","3A-1-7, Straits Quay Jalan Seri Tanjung Pinang Tanjung Tokong,, Penang Island 10470 Malaysia",2,4,28,5.450422,100.307274
Penang Club,Vegetarian Friendly,"Penang Club Penang Club 42B Jalan Sultan Ahmad Shah, Penang Island 10050 Malaysia",2,4.5,28,5.424997,100.3284358
Hudson's Deli,"International,European,Deli","Hudson's Deli 103 Jalan Chan Siew Teong, Tanjung Bungah, Penang Island 11200 Malaysia",2,5,14,5.465591,100.2794366
Chatto - Handcrafted Tea Bar Georgetown,"Chinese,Japanese,Cafe","143, Lebuh Carnarvon, Georgetown, 10100, Penang Located in Georgetown's Heritage Core Zone, George Town, Penang Island 10100 Malaysia",1,4.5,17,5.4152523,100.3350095
The Wine Shops (Penang),Wine Bar,"11A & 15, Lintang Burmah, Penang Island 10250 Malaysia",2,4,37,5.4327263,100.3113565
Santorini Cafe,"Chinese,American,Cafe","94 Jalan Burma, George Town, Penang Island 10050 Malaysia",1,4.5,20,5.4191891,100.3273916
Chin's,"Chinese,Asian,Malaysian","Church Street Pier George Town, Penang Island Malaysia",3,4.5,33,5.41664,100.34413
Heap Seng at 29,"Seafood,British","Number 29, China Street, George Town, Penang Island 10300 Malaysia",2,4.5,14,5.4178403,100.3397443
The Table Penang,"Southwestern,Cafe,Asian","The Table Penang No 27 Carnarvon Street, Penang Island 10100 Malaysia",2,4.5,23,5.4171977,100.3360671
The Line Sandwich Cafe,"Italian,Southwestern,Cafe","239 Jalan Magazine, George Town, Penang Island 10300 Malaysia",2,4.5,14,5.4138946,100.3288195
Pho Viet,"Asian,Vietnamese,Soups","496 Lebuh Pantai Crossing with Beach Street, George Town, Penang Island 10300 Malaysia",1,4,36,5.4122207,100.3345578
Diable Pasta,"Italian,European,Asian","No.4 Kampung Malabar, George Town, Penang Island 10100 Malaysia",2,5,12,5.4188162,100.333541
Wenchang Hainan Chicken Rice,"Chinese,Malaysian","No. 63 Lebuh Cintra, George Town, George Town, Penang Island 10200 Malaysia",1,4,44,5.4172714,100.3333989
The Haven Harbour,"Southwestern,Cafe,International","102-K-1, New World Jalan Burma, George Town, Penang Island 10050 Malaysia",2,4,36,5.42045,100.3269517
Salad Bowl Cafe,"Italian,Chinese,Cafe","79, 56, Jalan Masjid Kapitan Keling George Town, Penang Island 10450 Malaysia",1,4.5,36,5.4176233,100.3381215
Bridge Street Hokkien Mee,"Chinese,Asian","Bridge Street Hokkien Mee 533 Beach Street George Town, Penang Island 10300 Malaysia",1,4.5,15,5.4119777,100.3342154
An Viet,"Asian,Vietnamese,Vegetarian Friendly","An Viet 170 Persiaran Gurney Gurney Plaza, Penang Island 10250 Malaysia",2,4,40,5.4380431,100.3100232
Hainanese Delights,"Asian,Malaysian","1926 Heritage Hotel, George Town, Penang Island Malaysia",2,4,32,5.4238889,100.3205556
Danish Briyani House,"Indian,Middle Eastern,Pakistani","273-B Lebuh Chulia, George Town, Penang Island 10200 Malaysia",2,3.5,108,5.4178082,100.3367864
Beans Heritage,"Asian,Malaysian","Lebuh Carnavon, George Town, Penang Island Malaysia",2,4,52,5.4151022,100.3346246
Kafka Coffee,"Cafe,Asian,Malaysian","15 Jalan Kelawai, George Town, Penang Island 10250 Malaysia",2,4,26,5.4347568,100.3123199
Sushi Zento,"Japanese,Sushi,Asian","Sushi Zento Jalan Tanjong Tokong, Penang Island 10470 Malaysia",2,4,53,5.4491937,100.3064604
Aik Hoe Restaurant,"Chinese,Asian","No.6 & 8 Lebuh Carnavon Georgetown 10100 Penang, Penang Island Malaysia",1,4,32,5.4177724,100.336112
Coffee Island,"Chinese,International,Asian","77 Persiaran Gurney, George Town, Penang Island 11250 Malaysia",2,4,35,5.4330265,100.3160687
d'Tandoor Restaurant Penang,"Indian,Vegetarian Friendly,Halal","10-C-22, Precinct 10 Jalan Tanjong Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,49,5.4492482,100.3060331
Dandy Modern Food (Arena Curve),"Pizza,International,Mediterranean","72-1-17, Jalan Mahsuri Arena Curve, Bayan Lepas, Penang Island 11950 Malaysia",2,4,35,5.3256576,100.2807164
Janxden Green Life Cafe,"Asian,Vegetarian Friendly,Vegan Options","50, Jalan Chow Thye Road Behind northam towers, George Town, Penang Island 10050 Malaysia",2,4,36,5.4251419,100.3206942
Javu,"Cafe,Fusion,Vegan Options","26, Lebuh Lembah Permai 4, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,20,5.454216,100.290494
Dim Sum Food Restaurant,"Chinese,Asian","10400 63 Macalister Road, George Town, Penang Island 11300 Malaysia",1,4,30,5.4156149,100.3247498
23 lovelane,French,"23lovelane, George Town, Penang Island Malaysia",2,4.5,23,5.4196961,100.3372249
Idealite Wholesome Dining Restaurant,"Asian,Healthy,Malaysian","Lebuh Tunku Kudin 2 Lot 1-01-05, Ground Floor, E-Gate, Penang Island 11700 Malaysia",2,4,38,5.375986,100.3153234
Lunarich,"Italian,Pizza,European","LOT 2.33, LEVEL 2 GURNEY PARAGON MALL, George Town, Penang Island 10250 Malaysia",2,4,39,5.4357359,100.311185
Nan Guang Penang Laksa @ Balik Pulau,"Chinese,Asian,Nonya/Malaysian","67 Jalan Balik Pulau Nan Guang Coffe Shop, George Town, Penang Island 11000 Malaysia",1,4,24,5.398822,100.2703446
Chinese Recreation Club Restaurant,"Chinese,Asian,Cantonese","Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",2,4,34,5.4229756,100.3196829
Kim's Korean Food,"Barbecue,Asian,Korean","Kim's Korean Food Kim's Korean Food 2 Jalan Tavoy, Penang Island 10050 Malaysia",2,4.5,22,5.4237334,100.321825
Original Penang Kayu Nasi Kandar,"Indian,Asian,Malaysian","15, Lebuh Nipah, 11900 Bayan Lepas, Pulau Pinang, Malaysia, Penang Island Malaysia",2,3.5,21,5.3396806,100.296188
Chili Head Social Bar & Eatery,"Asian,Thai","3A-G-11 & 12, Straits Quay, Jalan Seri Tanjung Pinang Seri Tanjung Pinang Tanjung Tokong, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,42,5.4570469,100.3139403
Restoran Khun Thai,"Seafood,Asian,Thai","1052 Mk 9 Teluk Kumbar, Bayan Lepas, Penang Island 11920 Malaysia",2,3.5,59,5.2909769,100.2497952
Jade Palace Seafood Restaurant,"Chinese,Seafood,Asian","3rd Floor No. 41 Lorong Abu Siti, George Town, Penang Island 10400 Malaysia",2,4,26,5.4180138,100.3238096
D'Chef,Vegetarian Friendly,"Lebuh Presgrave, George Town, Penang Island 10300 Malaysia",3,4,28,5.4111395,100.3303959
Ah Leng Char Koay Teow,"Asian,Malaysian","Lorong Zoo 6 Ayer Itam, George Town, Penang Island 11500 Malaysia",1,4.5,12,5.4025898,100.2843497
Chai Diam Ma,"Cafe,Vegan Options","15 Lebuh Queen 10200 George Town, Penag, George Town, Penang Island 10200 Malaysia",2,4,23,5.4184764,100.3395601
Nana Tomyam,"Thai,Malaysian,Vegetarian Friendly","6 A Jalan Transfer, George Town, Penang Island 10050 Malaysia",,4,17,5.4228261,100.3310858
Baba Phang,"Asian,Malaysian","17 Jalan Sri Baharu, George Town, Penang Island Malaysia",2,4.5,17,5.4144241,100.3261358
Hong Xiang Bak Kut Teh,"Chinese,Malaysian","88, Jalan Macalister, Penang Island Malaysia",2,3.5,46,5.4151977,100.3267449
Swatow Lane Ice Kacang,"Chinese,Asian,Malaysian","102-E-1Burma Road New World Park, George Town, Penang Island 10050 Malaysia",1,4.5,19,5.42045,100.3269517
Flower Mulan Nyonya Cafe,"Asian,Malaysian","268 Jalan Burmah Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,4.5,13,5.4312447,100.3123532
Xiang Peng Peng Salted Chicken,"Asian,Healthy,Soups","208B Macalister Road Same row with Happy Mart, Near Red Rock Hotel and Travelodge Hotel, George Town, Penang Island 10400 Malaysia",1,4.5,18,5.4141307,100.3287506
Dragon-I,"Chinese,Asian,Shanghai","100, Persiaran Bayan Indah Queensbay Mall, Bayan Lepas, Penang Island 11900 Malaysia",2,3.5,50,5.3331774,100.3066084
4Fingers,,"163-D Persiaran Gurney Gurney Paragon Mall, 163D-1-06, Penang Island 10250 Malaysia",2,4.5,12,5.4357359,100.311185
Nurul Ikan Bakar,"Seafood,Asian,Malaysian","Jalan Tun Dr Ismail Bayan Lepas Industrial Park 4, Bayan Lepas, Penang Island 11900 Malaysia",2,4,24,5.3071484,100.2882911
Kedai Kopi Sin Hwa,"Asian,Malaysian","329 Jalan Burmah, George Town, Penang Island Malaysia",1,4,30,5.4306979,100.3124847
The Eatery,"International,Asian,Malaysian","505 Jalan Tanjung Bungah Located Inside the Four Points by Sheraton Hotel, Tanjung Bungah, Penang Island 11200 Malaysia",2,4,42,5.4637784,100.3017774
La Vie en Rose Patisserie,"Dessert,French,Cafe","19 Lebuh Melayu, George Town, Penang Island 10100 Malaysia",2,4.5,17,5.4132033,100.3353064
Olivia?????s Pasta & Pizza,"Italian,Pizza,Spanish","17A Lebuhraya Batu Lanchang, George Town, Penang Island 11600 Malaysia",2,5,11,5.395378,100.2996431
My Voice Cafe,"Japanese,Asian","C-5-1, Lorong Bayan Indah 3, Bay Avenue, Bayan Lepas, Penang, George Town, Penang Island 11900 Malaysia",2,4,36,5.3375605,100.3070718
Bee Hooi Restaurant,"Asian,Malaysian","Bee Hooi Restaurant Jalan Burma Pulau Tikus, Penang Island 10350 Malaysia",1,4,32,5.432224,100.310134
Passion of Kerala,"Indian,Asian,Malaysian","Gelugor, George Town, Penang Island Malaysia",2,4,59,5.369118,100.3096991
QEII The Waterfront Venue,"Italian,Bar,Pizza","8A Pengkalan Weld, George Town, Penang Island Malaysia",2,4,52,5.4150544,100.3433425
Dragon-i - Gurney Plaza,"Chinese,Asian,Shanghai","George Town, Penang Island Malaysia",2,3.5,70,5.4141307,100.3287506
Kedai Kopi New Cathay,"Chinese,Asian,Malaysian","425 Jalan Burma, George Town, Penang Island 10350 Malaysia",1,4,20,5.4322458,100.3098434
Fuku Eatery,Contemporary,"Lebuh Pantai 103, George Town, Penang Island Malaysia",2,4.5,11,5.4154744,100.3397858
Enoshima Japanese Restaurant,"Japanese,Sushi,Asian","Cititel Express Penang, 123 Lebuh Noordin, Komtar, George Town, Penang Island 10300 Malaysia",2,4,20,5.4125588,100.3297294
Gooday Restaurant,"Chinese,Asian,Malaysian","2-J Jalan Lembah Permai Tanjong Bungah, Penang Island 11200 Malaysia",2,4.5,17,5.464587,100.280209
Pinang Restaurant & Bar,"Bar,International","Jalan Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,59,5.477061,100.2533085
O.M.G Restaurant Penang,"Italian,Fusion,Malaysian","30, Jalan Servis, Georgetown, Penang Island 10050 Malaysia",1,5,9,5.4256131,100.3203481
Roti Canai,"Asian,Malaysian,Vegan Options","Jalan Argyll, George Town, Penang Island 10050 Malaysia",1,4,27,5.4225633,100.327842
Happy Garden Restaurant Batu Ferringhi Penang,Chinese,"Happy Garden Restaurant Batu ferringhi.penang 206 B Batu Ferringhi, Penang Island 11100 Malaysia",,4.5,13,5.468622,100.2441159
Something Else,"Bar,Pub","72a-G Persiaran Mahsuri 2, Bayan Lepas, Penang Island 11950 Malaysia",2,4.5,13,5.3264584,100.2799613
More by Arang Coffee,"Cafe,Vegetarian Friendly,Vegan Options","170-G Argyll Road Livingston Tower, George Town, Penang Island 10050 Malaysia",2,4,20,5.4222231,100.3297737
AL-Baiek,"Barbecue,Middle Eastern,Pakistani","Jalan Batu Ferringi Infront Of Hard Rock Hotel, Batu Ferringhi, Penang Island 11100 Malaysia",,4,17,5.4646111,100.2396295
Annalakshmi Temple of Fine Arts,"Indian,Asian,Vegetarian Friendly","1 Lebuhraya Babington, George Town, Penang Island 10450 Malaysia",1,4.5,17,5.4181546,100.3142055
Ali Nasi Lemak,"Quick Bites,Asian,Malaysian","Beach Street Medan Makan Sri Weld, George Town, Penang Island 10300 Malaysia",1,4,33,5.4175551,100.3432695
Hans Cafe and Deli,Cafe,"Jalan Seri Tanjung Pinang Tesco, Tanjung Tokong, Penang Island 10470 Malaysia",2,4.5,12,5.4589372,100.3087485
Zealand Seafood Restaurant,"Chinese,Asian,Malaysian","62 Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,4.5,15,5.4322075,100.317373
Leilomei by Manchu,"Chinese,Bar,Cafe","38 & 40, Jalan Pintal Tali,, George Town, Penang Island 10100 Malaysia",2,5,7,5.4177948,100.3348709
Maroush,"Indian,Middle Eastern,Arabic","Lot 396 11100 Batu Ferringhi Road Lot 396 Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,45,5.4746493,100.249259
Ayu Mee Udang,,,2,4,15,,
Pang Hainan Seafood,"Chinese,Seafood,Asian","12 Jalan Tanjong Bungah, Penang Island Malaysia",2,3.5,63,5.466036,100.2893935
Ajid Cafe,"Cafe,Asian,Malaysian","Jalan Tanjung Bungah Palau Pinang, MY, Batu Ferringhi, Penang Island 11100 Malaysia",,5,9,5.4763508,100.2522955
Abu,"Indian,Asian,Malaysian","Jalan Datuk Koyah, George Town, Penang Island Malaysia",1,4,15,5.4198895,100.3316024
Nonya Breeze,"Asian,Nonya/Malaysian,Malaysian","Straits Quay West, Penang Island Malaysia",2,4,21,5.4580314,100.3133518
Tokma Malay Kitchen,,"6 Jalan Tanjong Tokong, George Town, Penang Island 10470 Malaysia",1,5,7,5.4470925,100.3063583
IPPUDO Gurney Plaza,"Japanese,Asian","170-G-37, Ground Floor, Gurney Plaza Gurney Plaza Penang, George Town, Penang Island 10250 Malaysia",2,4,25,5.4287817,100.3207271
Middle of Nowhere,"Malaysian,Asian","202-B Jalan Sungai Pinang, Penang Island 11010 Malaysia",,4.5,11,5.3523829,100.2301666
Lao Hakka Restaurant,Chinese,"562 Jalan Tanjung Bungah, George Town, Penang Island 11200 Malaysia",2,4,13,5.4628155,100.3049555
ET Steamboat Restaurant,Chinese,"Jalan Rangoon, George Town, Penang Island Malaysia",2,4.5,9,5.4183332,100.3248813
Fruit of Lebanon,"Lebanese,Mediterranean,Middle Eastern","109-A Jalan, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,57,5.4687073,100.2430904
Sushi Kitchen,"Japanese,Sushi,Asian","2A-1, Jln.sg.Ara,Desa Ara,Sg.Ara, George Town, Penang Island 11900 Malaysia",2,4.5,14,5.4061852,100.3236844
Kim Gary Restaurant,"Asian,Malaysian,Vegetarian Friendly","170-03-60A / 61 / 63A / 65 / 66, Plaza Gurney, Persiaran Gurney, Penang Island 10250 Malaysia",2,4,22,5.4390504,100.3098713
Botanica Mansion,,"156 Jalan Sungai Bandar Baru Air Putih, Balik Pulau, Penang Island 11000 Malaysia",2,4,17,5.3517558,100.2318663
Club J,"Japanese,European,Fusion","344 Lorong Leandros, George Town, Penang Island 10250 Malaysia",2,4.5,10,5.433487,100.3107358
Wooden House Cafe,"American,Cafe,Asian","No.1, Chew Jetty Weld Quay, Penang Island 10300 Malaysia",1,4.5,9,5.4113819,100.3408166
Lorong Selamat Food Stalls,"Asian,Malaysian","off Jln Burma Chinatown, George Town, Penang Island Malaysia",1,3.5,153,5.426639,100.317161
Daily Fish Restaurant,"Chinese,Seafood,Asian","Daily Fish Restaurant Daily Fish Restaurant Daily Fish Restaurant 288e-1-13 Jalan Thean Teik Fortune Court, Ayer Itam, Penang Island 11500 Malaysia",2,4.5,14,5.3983323,100.2941051
Sushi Kappo Miyasaka,"Japanese,Sushi","397 Jalan Burma, George Town, Penang Island 10350 Malaysia",2,4.5,12,5.4317626,100.3112319
Nyonya Willow,"Chinese,Asian,Malaysian","45 Lorong Sungai Tiram 4 Taman Tunas Damai, Bayan Lepas, Penang Island 11900 Malaysia",2,4,22,5.3028623,100.2702618
Cafe Laurel,"Asian,Vegetarian Friendly,Halal","53 Persiaran Gurney Evergreen Laurel Hotel Penang, George Town, Penang Island 10250 Malaysia",2,4,29,5.4311833,100.3178872
Wang Thai,"Asian,Thai","294, Jalan Burma Pulau Tikus, George Town, Penang Island 10350 Malaysia",2,3.5,39,5.4320211,100.3116142
Umi Japanese Restaurant,"Japanese,Sushi","28 Jalan Teluk Kumbar Lexis Suites Penang, Bayan Lepas, Penang Island 11920 Malaysia",2,4.5,13,5.2871563,100.2329248
The Mangoes Cafe,"Fusion,Cafe","496 Lebuh Pantai End of Beach Street, Close to Komtar/ 1st Avenue Junction, George Town, Penang Island 10300 Malaysia",,4.5,17,5.4145872,100.3297474
Alley Catz Cafe,"Italian,Cafe,Fast food","133, Jalan Masjid Kapitan Keling George Town, Penang Island 10400 Malaysia",2,5,9,5.4157212,100.3373784
Escobar Wine & Deli,"Bar,Deli,Grill","138 Jalan Pintal Tali Ropewalk Piazza, George Town, Penang Island 10100 Malaysia",2,4,18,5.4155095,100.3324666
Plan b,Cafe,"Persiaran Gurney Gurney Paragon, George Town, Penang Island 10250 Malaysia",2,4,14,5.4357359,100.311185
Shusi Banana Leaf Restaurant,"Indian,Asian,Malaysian","71A Penang Street, George Town, Penang Island 10200 Malaysia",1,3.5,26,5.4171387,100.3402709
London Duck Gurney Plaza,"Chinese,Asian,Cantonese","Gurney Plaza 170-03-86 Persiaran Gurney, Penang Island 10250 Malaysia",2,4,12,5.4380431,100.3100232
Indian Palace,"Indian,Asian,Vegetarian Friendly","No 79-G-18 Penang Time Square Jalan Dato Kerama, George Town, Penang Island 11950 Malaysia",2,4,45,5.412176,100.3256387
JiangHu Edo Penang,Fusion,"69, Jalan Magazine, Penang Island 10100 Malaysia",2,4.5,8,5.4123518,100.331958
Noordin Nyonya Delights,"Chinese,Fast food,Asian","138c Lebuh Noordin, George Town, Penang Island 10300 Malaysia",1,5,6,5.4123687,100.3294634
Stardust,Cafe,"370D Lebuh Chulia Chinatown, George Town, Penang Island Malaysia",1,4,26,5.419233,100.334835
Charlie's Burgers,Fast food,"11100 Batu Feringgi, Batu Ferringhi, Penang Island Malaysia",1,4.5,14,5.47124,100.246491
Banh Mi Kitchen,"Cafe,Fast food,Asian","86, Jalan Zainal Abidin 10400 Pulau Pinang Behind UMNO Building, George Town, Penang Island 10400 Malaysia",1,5,5,5.4164676,100.325002
Siang Pin,"Chinese,Seafood,Asian","No. 598 Gf Jalan Tanjung Bunga, Penang Island 11200 Malaysia",2,4,26,5.4651804,100.2935468
Brix and BAUME,International,"124 Jalan Burma, George Town, Penang Island Malaysia",2,5,8,5.4208502,100.3254828
Jit Seng Hong Kong Roast Duck Rice,"Chinese,Asian","Star Hotel 246, Lebuh Carnarvon, George Town, Penang Island 10100 Malaysia",1,4,29,5.4144786,100.3334099
Fisherman's Wharf Food Corner Penang,"Chinese,Japanese,Indian","No 92A Lebuh Sungai Pinang 1, George Town, Penang Island 11600 Malaysia",1,3.5,26,5.3969205,100.3270539
Chu Char 1st,"Asian,Malaysian,Chinese","15, Lebuh King, 10200 Georgetown Penang, Malaysia, George Town, Penang Island 10200 Malaysia",,5,4,5.4184401,100.3402999
Kannaa's Bamboo Masala Beriyani Penang,Indian,"72, Lebuh China,, George Town, Penang Island 10020 Malaysia",1,4.5,9,5.4182478,100.3393737
Texas Chicken,"Quick Bites,American,Fast food","182 Jalan Magazine First Avenue Mall, George Town, Penang Island 10300 Malaysia",2,4,20,5.4130454,100.3311692
Blue Chang MODERN THAI CUISINE,"Asian,Thai","417, Jalan Burma Behind CIMB & Hong Leong Bank Pulau Tikus, Penang Island 10350 Malaysia",2,4,12,5.4317314,100.3104352
Mr.Pot,"Bar,Cafe,Pub","124c Gurney Drive, George Town, Penang Island Malaysia",2,4,23,5.4351081,100.3139511
Waterworld Seafood Restaurant,"Seafood,Malaysian,Chinese","72 Jalan Batu Ferringhi I Love You Cafe, Penang Island 11100 Malaysia",,4.5,11,5.475054,100.2494679
Goodall Cafe,"Chinese,Asian,Malaysian","Jalan Gottlieb, George Town, Penang Island 10350 Malaysia",1,3.5,26,5.431995,100.3013731
See Kong Ooi Restaurant,"Chinese,Asian,Malaysian","7 & 9 Jalan Transfer, George Town, Penang Island 10050 Malaysia",2,4,29,5.4221967,100.3314328
The Ship Batu Ferringi,"Steakhouse,Asian","69-B Jalan Batu Ferringhi 11100, Batu Ferringhi, Penang Island 11100 Malaysia",2,3,576,5.473907,100.247484
The Nook Books and Coffee,"Asian,Malaysian","4 Halaman Khoo Cheow Teong, George Town, Penang Island 10100 Malaysia",1,4.5,9,5.413044,100.3347692
Hassan Briyani House,"Indian,Middle Eastern,Pakistani","198,Jalan Transfer, Penang Island 10050 Malaysia",1,5,6,5.4190581,100.3297489
Curry & Co,"Indian,Asian,Malaysian","11 Jalan Ismail Nagore, Penang Island 10050 Malaysia",2,4,13,5.366513,100.3117055
Pulau Tikus Hawker Centre,,"Jalan Burma Pulau Tikus, George Town, Penang Island 10350 Malaysia",1,4,11,5.4299666,100.3131688
C&J Alabama Shake,American,"90 Church Street, George Town, Penang Island 10200 Malaysia",2,4.5,10,5.4191094,100.3396981
Cintra Street Fish and Chicken Porridge,,"Lebuh Cintra, George Town, Penang Island 10450 Malaysia",1,5,5,5.4177819,100.3335161
"Khun De Thai Restaurant, Gurney Drive","Asian,Thai","75 Gurney Drive at entrance to Gurney View Hotel, Penang Island 10250 Malaysia",2,4,16,5.4406351,100.3089986
Victoria Green Corner,"Chinese,Asian,Malaysian","43 Jalan Padang Victoria, George Town, Penang Island 10400 Malaysia",2,4.5,8,5.4221679,100.3211812
Cho Dong Jib,"Asian,Korean","163-D Persiaran Gurney Gurney Paragon Mall Lot No. L1.05, George Town, Penang Island 10250 Malaysia",2,4,11,5.4357359,100.311185
Maxim Dim Sum,"Chinese,Asian,Cantonese","Bangunan Lip Sin 2-G-11 & 12 Lebuh Pekaka 1, Sungai Dua, Gelugor, Penang Island 11700 Malaysia",2,4,17,5.3488804,100.2956636
Golden Gate Steamboat,Seafood,"No. 77 Jalan Cantonment, George Town, Penang Island 10250 Malaysia",2,4,16,5.4349509,100.313241
