restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
WHEELER'S,"Cafe,Fusion,Healthy","67 Jalan Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,582,5.4187871,100.3365876
Rubin Mardini Cafe Restaurant,"Lebanese,Mediterranean,Turkish","Jalan Batu Ferringhi No 591, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,99,5.4796341,100.2612737
The Book Sandwich Cafe,"International,Vegetarian Friendly","217 Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,4.5,300,5.4137911,100.3377644
Ivy's Nyonya Cuisine,"Asian,Nonya/Malaysian,Malaysian","58 Jln Chow Thye, George Town, Penang Island 10250 Malaysia",2,4.5,495,5.4247911,100.3205736
Yeap Noodles,"Chinese,Asian,Malaysian","No. 227 Chulia Street 10200 Georgetown, Penang Island Malaysia",1,4.5,325,5.417653,100.3370166
Il Bacaro,"Italian,Pizza,Grill","Campbell House,106 Campbell Street Georgetown, Penang Island 10100 Malaysia",2,4.5,508,5.4181722,100.33365
Long Beach,"Chinese,Indian,Asian","Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,2864,5.4750496,100.276679
The Spice Market Cafe,"International,Asian,Malaysian","Jalan Batu Ferringhi Batu Feringgi Beach, Batu Ferringhi, Penang Island 11100 Malaysia",2,4.5,515,5.4750496,100.276679
Auntie Gaik Lean's,"Asian,Nonya/Malaysian,Malaysian","No.1, Bishop Street, Penang Island 10200 Malaysia",2,4.5,241,5.4179546,100.3423558
Via Pre Italian Restaurants,"Italian,Mediterranean,Tuscan","20e, Lebuh Penang, George Town, Penang Island 10200 Malaysia",2,4.5,385,5.419317,100.341356
DEEN MAJU,"Indian,Asian,Malaysian","170 Jalan Gurdwara, George Town, Penang Island 10300 Malaysia",1,4.5,215,5.4097434,100.3281237
Malaya,"Indian,Asian,Malaysian","153F, Jalan Hutton, George Town, Penang Island 10050 Malaysia",2,5,66,5.420959,100.3288386
Ferringhi Garden Restaurant,"Chinese,Asian,Central European","34 A, B & C, Jalan Batu, Penang Island 11100 Malaysia",2,4.5,2063,5.3673161,100.2486493
The Leaf Healthy Recipes,"Asian,Diner,Healthy","No. 5 Lebuh Penang 10200, George Town, Penang Island 10200 Malaysia",2,,0,5.4185958,100.3411422
HYGGE Dining & Bar,"European,Asian,Vegetarian Friendly","58, Jalan Kuala Kangsar Near the penang art, George Town, Penang Island 10450 Malaysia",1,5,70,5.4165994,100.3314723
